review,customer_ID,Date,taste,taste_score,amount,amount_score,delivery,delivery_score,menu,Selected_Menu
??????????????,ji**님,6일 전,맛,5,양,5,배달,0,"나혼자 실속 세트（메뉴1＋사이드1＋콜라or스프라이트）/1(메뉴 선택(＋（중독）매콤 도로시 크림파스타),맵기조절 선택（2）(＋2단계] 불닭볶음면 맵기),토핑 옵션 추가선택(＋[[인기]]Grilled왕새우4개（토핑）),토핑 옵션 추가선택(＋눈꽃치즈 듬뿍),（세트）사이드메뉴 선택1(＋버팔로윙4개),서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),음료 선택(＋코카콜라355mL),피클O／X(피클O))",버팔로윙
맛있게잘먹었습니다~~~,wf**님,6일 전,맛,5,양,5,배달,0,"둘이서 만찬 세트（스테이크1＋메뉴1＋음료1）/1(메뉴 선택(＋（감동）투움바 파스타),맵기조절 선택（2）(＋기본),서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),스테이크 선택(＋[[인기]]큐브스테이크 & Grilled 왕새우（4개）),음료 선택(펩시 제로 355mL),피클O／X(피클O))","포테이토 샐러드, 투움바 파스타"
감사히 잘 먹었습니다 !! 맛있어용,lo**님,6일 전,맛,5,양,5,배달,0,"쉬림프&베이컨 로제리조또/1(맵기조절 선택（2）(＋기본),토핑 옵션 추가선택(＋[[인기]]Grilled 스테이크90g 추가),서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),피클O／X(피클O))",쉬림프&베이컨 로제리조또
맛있게 잘 먹었습니다^^,10**님,일주일 전,맛,5,양,5,배달,0,"[ 강력추천 ] 투움바 파스타/1(면 종류 선택(＋페투치네면（투움바주문시에만 선택가능）),맵기조절 선택（2）(＋1단계] 신라면 맵기),토핑 옵션 추가선택(＋（일반）왕새우 2개 추가),피클O／X(피클O))",투움바 파스타
"포토후기는 기본센스!!
와우 양많고 맛도 무지 좋아요~
다음엔 파스타도 도전!!",th**님,일주일 전,맛,5,양,5,배달,0,"＋[ 강력추천 ]타코야끼 8알/1,모둠튀김（새우튀김1＋너겟3＋고구마2＋치즈볼2＋군만두3）/1,＋육즙가득 통소세지（＋케찹）/1,＋치킨 가라아게 6개/1,＋버팔로윙 4개/1,모닝빵＋딸기잼/3","육즙가득 통소세지, 타코야끼, 모둠튀김, 새우튀김, 버팔로윙, 가라아게, 치즈볼"
가족이랑 같이 맛있게 먹었습니다.,oh**님,일주일 전,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),둘이서 콤보 메뉴 선택1(＋（감동）투움바 파스타),메뉴1） 맵기 선택(＋1단계] 신라면 맵기),둘이서 콤보 메뉴 선택2(＋우삼겹 필라프),메뉴2） 맵기 선택(＋기본]),（세트）사이드메뉴 선택1(＋버팔로윙4개),피클O／X(피클O))","투움바 파스타, 우삼겹 필라프, 버팔로윙"
맛있게 잘 먹었습니다!,lo**님,일주일 전,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 한입 단호박 샐러드),둘이서 콤보 메뉴 선택1(새우 비스크소스 파스타),메뉴1） 맵기 선택(＋1단계] 신라면 맵기),둘이서 콤보 메뉴 선택2(＋봉골레 알리오올리오),메뉴2） 맵기 선택(＋기본]),（세트）사이드메뉴 선택1(＋달달 고구마튀김3개),피클O／X(피클X))","새우 비스크소스 파스타, 봉골레 알리오올리오, 단호박 샐러드, 고구마튀김"
맛있어요~ 배달이 예정된 시간보다 19분 늦게 와서 크림을 면이 다 흡수한거ㅜㅜ빼고는 잘 먹었습니다:-),ll**님,일주일 전,맛,5,양,5,배달,0,"[ 강력추천 ] 투움바 파스타/1(면 종류 선택(＋페투치네면（투움바주문시에만 선택가능）),맵기조절 선택（2）(＋1단계] 신라면 맵기),토핑 옵션 추가선택(＋피클 추가),피클O／X(피클O)),[ 강력추천 ]매콤 도로시 크림파스타/1(맵기조절 선택（2）(＋1단계] 신라면 맵기),토핑 옵션 추가선택(＋계란후라이 추가),피클O／X(피클O))",투움바 파스타
"실속세트로 실속 있게 먹었습니다 ㅎㅎ
맛있었어요 !!!",xn**님,2024년 4월 22일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),둘이서 콤보 메뉴 선택1(＋（감동）투움바 파스타),메뉴1） 맵기 선택(＋1단계] 신라면 맵기),둘이서 콤보 메뉴 선택2(＋（중독）매콤 도로시 크림파스타),메뉴2） 맵기 선택(＋2단계] 불닭볶음면 맵기),（세트）사이드메뉴 선택1(＋버팔로윙4개),피클O／X(피클O))","투움바 파스타, 버팔로윙"
재료 신선하고 파스타생각날때마다 시켜요! 강추입니당!,sa**님,2024년 4월 22일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),둘이서 콤보 메뉴 선택1(＋미트소스 파스타),메뉴1） 맵기 선택(＋1단계] 신라면 맵기),둘이서 콤보 메뉴 선택2(＋쉬림프&베이컨 로제 리조또),메뉴2） 맵기 선택(＋1단계] 신라면 맵기),（세트）사이드메뉴 선택1(＋버팔로윙4개),피클O／X(피클O))","미트소스 파스타, 포테이토 샐러드, 버팔로윙"
